jiscode	citynamejp	citynameen	regionalname	islandname	islandkana	islandnameen	lat	long	area	coast	h27pop	h22pop	law	desinatedname	manned	delegate
42212	長崎県西海市	Saikai, Nagasaki		江島	えのしま	Enoshima	33.00938292	129.3514222	2.58	9.6	124	169	離島振興法	蠣ノ浦大島	1	1
42212	長崎県西海市	Saikai, Nagasaki		平島	ひらしま	Hirashima	33.00600876	129.2414318	5.47	16.9	201	244	離島振興法	蠣ノ浦大島	1	1
42212	長崎県西海市	Saikai, Nagasaki		松島	まつしま	Matsushima	32.93316194	129.6090076	6.37	10.6	534	605	離島振興法	松島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	六島	むしま	Mushima	33.2237932	129.1353126	0.69	3.1	3	22	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	納島	のうしま	Noshima	33.22254903	129.0682879	0.65	5.2	26	29	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	斑島	まだらしま	Madarashima	33.20632528	129.0198069	1.58	5.6	182	218	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	小値賀島	おぢかしま	Ojikashima	33.20140445	129.0639249	12.26	57.3	2229	2433	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	野崎島	のざきじま	Nozakijima	33.18611611	129.1292599	7.11	15.6	1	1	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	黒島	くろしま	Kuroshima	33.18079001	129.0569338	0.24	3.2	54	69	離島振興法	平戸諸島	1	1
42383	長崎県北松浦郡小値賀町	Ojika, Nagasaki	平戸諸島	大島	おおしま	Oshima	33.16972223	129.0219279	0.71	7.8	65	77	離島振興法	平戸諸島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	頭ヶ島	かしらがじま	Kashiragajima	33.01324209	129.1858226	1.86	8.2	15	17	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	中通島	なかどおりじま	Nakadorijima	32.96277222	129.0633278	168.39	278.8	18113	20167	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	日島（日ノ島）	ひのしま	Hinoshima	32.92347972	128.9627886	1.37	7.1	38	48	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	有福島	ありふくじま	Arifukujima	32.91592829	128.9432561	2.97	10	112	139	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	漁生浦島	りょうぜがうらじま	Ryozegaurajima	32.90913083	128.9630735	0.65	4.2	30	35	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	若松島	わかまつじま	Wakamatsujima	32.89197778	129.0119417	31.14	123.7	1402	1661	離島振興法	五島列島	1	1
42411	長崎県南松浦郡新上五島町	Shinkamigoto, Nagasaki	五島列島	桐ノ小島	きりのこじま	Kirinokojima	32.86279445	129.044231	0.04	1.1	8	7	離島振興法	五島列島	1	1
43212	熊本県上天草市	Kamiamakusa, Kumamoto	天草諸島	湯島	ゆしま	Yushima	32.60268362	130.3371799	0.52	4	293	374	離島振興法	天草諸島	1	1
43212	熊本県上天草市	Kamiamakusa, Kumamoto	天草諸島	中島	なかじま	Nakajima	32.53088792	130.4335189	0.21	2.4	4	5	離島振興法	天草諸島	1	1
43215	熊本県天草市	Amakusa, Kumamoto	天草諸島	横島	よこしま	Yokoshima	32.37306209	130.2324175	0.83	5	1	4	離島振興法	天草諸島	1	1
43215	熊本県天草市	Amakusa, Kumamoto	天草諸島	横浦島	よこうらじま	Yokourajima	32.36707097	130.3481021	1.14	5.3	627	752	離島振興法	天草諸島	1	1
43215	熊本県天草市	Amakusa, Kumamoto	天草諸島	牧島	まきしま	Makishima	32.35375486	130.3207715	5.59	24.8	322	357	離島振興法	天草諸島	1	1
43215	熊本県天草市	Amakusa, Kumamoto	天草諸島	御所浦島	ごしょうらじま	Goshourajima	32.33001917	130.337664	12.54	25.7	1786	2054	離島振興法	天草諸島	1	1
